City_ID,City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,13,korla,41.7597,86.1469,267.91,68,78,4.83,CN,1706661773
255,14,leeton,-34.5667,146.4,301.53,23,0,3.6,AU,1706661773
256,15,toliara,-23.35,43.6667,297.43,72,15,5.81,MG,1706661774
257,16,cidreira,-30.1811,-50.2056,294.06,86,14,3.79,BR,1706661774
258,17,queenstown,-31.8976,26.8753,292.34,93,100,0.72,ZA,1706661774
259,18,palladam,10.9833,77.3,295.26,87,82,2.21,IN,1706661774
260,19,newman,37.3138,-121.0208,295.28,75,74,1.34,US,1706661774
261,20,kirakira,-10.4544,161.9205,300.69,83,100,5.03,SB,1706661774
262,21,mossel bay,-34.1831,22.146,292.11,90,100,2.12,ZA,1706661774
263,22,copala,16.65,-98.9833,298.51,83,99,1.37,MX,1706661774
264,23,aykhal,66.0,111.5,249.4,100,98,1.05,RU,1706661490
265,24,ketchikan,55.3422,-131.6461,281.41,93,100,7.2,US,1706661775
266,25,big stone gap,36.8677,-82.7745,279.14,92,100,2.45,US,1706661775
267,26,timimoun,29.2639,0.231,285.36,50,0,5.66,DZ,1706661775
268,27,gadzhiyevo,69.2551,33.3362,275.42,78,100,13.38,RU,1706661775
269,28,kayangel,8.0823,134.7173,300.44,83,9,10.53,PW,1706661775
270,29,valdivia,-39.8142,-73.2459,294.2,89,11,1.1,CL,1706661497
271,30,sala,34.0389,-6.8166,282.53,87,4,0.0,MA,1706661775
272,31,flying fish cove,-10.4217,105.6791,298.97,94,100,0.51,CX,1706661775
273,32,ancud,-41.8697,-73.8203,287.73,93,100,2.17,CL,1706661775
274,33,la ronge,55.1001,-105.2842,281.29,61,20,3.6,CA,1706661775
275,34,decize,46.8285,3.4619,279.19,96,48,0.52,FR,1706661776
276,35,illizi,26.4833,8.4667,281.04,46,0,6.56,DZ,1706661776
277,36,maintirano,-18.0667,44.0167,298.36,77,0,1.66,MG,1706661776
278,37,pueblo nuevo,23.3833,-105.3833,285.68,47,64,0.66,MX,1706661776
279,38,dondukovskaya,44.8819,40.3627,271.73,64,19,1.61,RU,1706661776
280,39,stornoway,58.2093,-6.3865,282.13,80,100,15.43,GB,1706661776
281,40,smirnovo,54.5125,69.4222,248.74,100,90,2.31,KZ,1706661776
282,41,parham,17.0968,-61.7705,296.5,73,20,1.03,AG,1706661776
283,42,alexandria,31.2156,29.9553,279.45,61,45,5.08,EG,1706661761
284,43,vadso,70.0744,29.7487,277.24,65,100,8.75,NO,1706661777
285,44,la sarre,48.8002,-79.1996,271.67,95,100,4.22,CA,1706661777
286,45,chibougamau,49.9168,-74.3659,264.94,86,0,4.12,CA,1706661777
287,46,darwin,-12.4611,130.8418,303.68,78,94,4.92,AU,1706661777
288,47,bentiu,9.2333,29.8333,296.44,18,90,2.78,SS,1706661777
289,48,rio gallegos,-51.6226,-69.2181,291.18,42,0,10.8,AR,1706661554
290,49,al hazm,16.1641,44.7769,295.87,54,92,4.25,YE,1706661777
291,50,palmas,-10.2128,-48.3603,298.08,94,40,1.54,BR,1706661777
292,1,mar del plata,-38.0023,-57.5575,297.56,85,100,1.54,AR,1706661668
293,2,manokwari,-0.8667,134.0833,301.21,75,90,1.53,ID,1706661777
294,3,zliten,32.4674,14.5687,286.98,54,79,7.01,LY,1706661778
295,4,alesund,62.4723,6.1549,279.31,65,100,12.35,NO,1706661778
296,5,ivancice,49.1014,16.3775,274.26,96,20,2.57,CZ,1706661778
297,6,shingu,33.7333,135.9833,283.58,88,100,1.82,JP,1706661778
298,7,rufino,-34.2683,-62.7126,300.93,32,6,3.95,AR,1706661778
299,8,zheleznogorsk,52.331,35.3711,266.81,94,99,2.2,RU,1706661778
300,9,carnarvon,-24.8667,113.6333,305.46,47,0,5.48,AU,1706661483
301,10,sechura,-5.5569,-80.8222,299.06,74,97,6.47,PE,1706661778
302,11,malvan,16.0667,73.4667,294.88,68,10,2.36,IN,1706661778
303,12,georgetown,5.4112,100.3354,300.34,79,20,2.57,MY,1706661779
304,13,shimokizukuri,40.8061,140.3861,277.33,78,100,2.75,JP,1706661558
305,14,saldanha,-33.0117,17.9442,290.18,92,88,2.69,ZA,1706661779
306,15,bodo,67.28,14.405,279.17,78,100,18.52,NO,1706661779
307,16,tamandare,-8.7597,-35.1047,298.72,76,0,2.75,BR,1706661779
